Par,file,initial,min,max
P1,ECO,419.25,100,500
P2,ECO,299,100,500
P3,ECO,200.5,100,500
P4,ECO,498,100,500
PARUE,ECO,4.9,1,6
PARU2,ECO,1.125,1,6
LA1S,ECO,3.25,1,20
LAFV,ECO,0.12,0.1,0.8
LAFR,ECO,0.22,0.01,0.32
SLAS,ECO,444,100,600
LSPHS,ECO,4.575,4,5.7
LSPHE,ECO,6.5,5.5,6.5
P1V,CUL,46,0,60
P1D,CUL,80,0,200
P5,CUL,698,100,999
G1,CUL,25,10,50
G2,CUL,35,10,80
G3,CUL,2.1125,0.5,8
PHINT,CUL,100,30,150
EFIR1,Xbuild,0.8921875,0.5,0.9
EFIR2,Xbuild,0.6,0.5,0.9
EFIR3,Xbuild,0.60625,0.5,0.9
EFIR4,Xbuild,0.5,0.5,0.9
EFIR5,Xbuild,0.5,0.5,0.9
EFIR6,Xbuild,0.5,0.5,0.9
EFIR7,Xbuild,0.86875,0.5,0.9
EFIR8,Xbuild,0.9,0.5,0.9
EFIR9,Xbuild,0.86875,0.5,0.9
EFIR10,Xbuild,0.86875,0.5,0.9
